,country,sex,age,marriage_duration_years,num_children_total,num_children_inhome,edu_level,material_situation,religion,religiosity,pension,enjoy_spouse_company,happiness,spouse_attraction,spouse_enjoy_doing_things_together,spouse_enjoy_cuddling,spouse_respect,spouse_pride,spouse_romance,spouse_love,marital_satisfaction,spouse_satisfaction,relationship_satisfaction,natl_pride_in_parents,natl_pride_in_children,natl_aging_parents_live_with_children,natl_children_live_at_home_marraige,indv_pride_in_parents,indv_pride_in_children,indv_aging_parents_live_with_children,indv_children_live_at_home_marraige
0,Brazil ,1,21,2,0,0,5,0,Protestant,4,0,2,2,2,2,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3
1,Brazil ,1,29,3,1,0,5,0,Protestant,6,-1,2,2,2,2,2,2,2,1,2,2,2,2,2,3,3,3,3,3,3,3
2,Brazil ,1,30,7,0,0,5,0,Protestant,4,0,2,2,1,2,2,2,2,0,2,3,3,3,2,3,2,3,3,3,3,3
3,Brazil ,1,30,7,1,1,5,0,Protestant,6,-3,2,2,2,2,2,2,1,1,2,2,2,2,1,3,3,2,3,3,3,3
4,Brazil ,1,28,9,0,0,4,1,Protestant,5,-3,2,1,2,2,2,2,2,1,2,3,2,3,1,2,1,2,3,3,3,3
5,Brazil ,1,39,9,1,0,5,0,Protestant,6,0,2,2,2,2,2,2,2,1,2,2,2,1,1,3,-1,1,3,3,1,3
6,Brazil ,1,30,7,2,2,5,0,Protestant,5,1,2,2,1,2,2,1,1,2,2,0,0,0,2,3,-1,1,2,2,1,3
7,Brazil ,1,40,20,2,2,5,0,Protestant,7,-2,2,2,2,2,2,2,2,2,2,3,3,3,-2,-1,0,1,3,3,0,3
8,Brazil ,2,43,22,2,2,4,0,Protestant,5,-1,1,1,2,1,2,1,1,1,1,-1,-1,-1,1,3,1,0,3,3,0,3
9,Brazil ,2,34,2,1,0,5,1,Protestant,4,1,0,-2,1,1,1,2,1,0,0,-3,-3,-3,1,3,0,3,3,3,0,2
10,Brazil ,2,52,27,2,0,3,1,Protestant,1,-3,2,1,2,2,2,2,2,2,2,3,3,2,-2,2,-2,2,3,3,-1,2
11,Brazil ,1,33,4,1,1,5,0,Protestant,4,-2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,1,2,2,-1,2
12,Brazil ,1,32,1,0,0,5,1,Protestant,7,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,1
13,Brazil ,1,32,1,0,0,5,1,Protestant,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,1,1
14,Brazil ,1,29,5,1,1,5,1,Protestant,7,2,2,2,2,2,2,2,2,1,2,3,3,3,0,1,1,3,3,3,-1,-2
