,country,sex,age,marriage_duration_years,num_children_total,num_children_inhome,edu_level,material_situation,religion,religiosity,pension,enjoy_spouse_company,happiness,spouse_attraction,spouse_enjoy_doing_things_together,spouse_enjoy_cuddling,spouse_respect,spouse_pride,spouse_romance,spouse_love,marital_satisfaction,spouse_satisfaction,relationship_satisfaction,natl_pride_in_parents,natl_pride_in_children,natl_aging_parents_live_with_children,natl_children_live_at_home_marraige,indv_pride_in_parents,indv_pride_in_children,indv_aging_parents_live_with_children,indv_children_live_at_home_marraige
0,Brazil ,Male,21.0,2.0,0.0,0.0,Bachelors or Masters degree,Average,Protestant,Moderately,Neither agree nor disagree,Yes,Yes,Yes,Yes,Rather yes,Rather yes,Yes,Yes,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
1,Brazil ,Male,29.0,3.0,1.0,0.0,Bachelors or Masters degree,Average,Protestant,Somewhat religious,Disagree slightly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rather yes,Yes,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Agree somewhat,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2,Brazil ,Male,30.0,7.0,0.0,0.0,Bachelors or Masters degree,Average,Protestant,Moderately,Neither agree nor disagree,Yes,Yes,Rather yes,Yes,Yes,Yes,Yes,Neither yes or no,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Agree somewhat,Strongly agree,Agree somewhat,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
3,Brazil ,Male,30.0,7.0,1.0,1.0,Bachelors or Masters degree,Average,Protestant,Somewhat religious,Disagree strongly,Yes,Yes,Yes,Yes,Yes,Yes,Rather yes,Rather yes,Yes,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Agree slightly,Strongly agree,Strongly agree,Agree somewhat,Strongly agree,Strongly agree,Strongly agree,Strongly agree
4,Brazil ,Male,28.0,9.0,0.0,0.0,High school or technical school,Better than average,Protestant,Slightly religious,Disagree strongly,Yes,Rather yes,Yes,Yes,Yes,Yes,Yes,Rather yes,Yes,Very Satisfied,Somewhat Satisfied,Very Satisfied,Agree slightly,Agree somewhat,Agree slightly,Agree somewhat,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5,Brazil ,Male,39.0,9.0,1.0,0.0,Bachelors or Masters degree,Average,Protestant,Somewhat religious,Neither agree nor disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rather yes,Yes,Somewhat Satisfied,Somewhat Satisfied,Slightly Satisfied,Agree slightly,Strongly agree,Disagree slightly,Agree slightly,Strongly agree,Strongly agree,Agree slightly,Strongly agree
6,Brazil ,Male,30.0,7.0,2.0,2.0,Bachelors or Masters degree,Average,Protestant,Slightly religious,Agree slightly,Yes,Yes,Rather yes,Yes,Yes,Rather yes,Rather yes,Yes,Yes,Neutral,Neutral,Neutral,Agree somewhat,Strongly agree,Disagree slightly,Agree slightly,Agree somewhat,Agree somewhat,Agree slightly,Strongly agree
7,Brazil ,Male,40.0,20.0,2.0,2.0,Bachelors or Masters degree,Average,Protestant,Extremely,Disagree somewhat,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Disagree somewhat,Disagree slightly,Neither agree nor disagree,Agree slightly,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree
8,Brazil ,Female,43.0,22.0,2.0,2.0,High school or technical school,Average,Protestant,Slightly religious,Disagree slightly,Rather yes,Rather yes,Yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Slightly Dissatisfied,Slightly Dissatisfied,Slightly Dissatisfied,Agree slightly,Strongly agree,Agree slightly,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree
9,Brazil ,Female,34.0,2.0,1.0,0.0,Bachelors or Masters degree,Better than average,Protestant,Moderately,Agree slightly,Neither yes or no,No,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Neither yes or no,Neither yes or no,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Agree slightly,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree somewhat
