,country,sex,age,marriage_duration_years,num_children_total,num_children_inhome,edu_level,material_situation,religion,religiosity,pension,enjoy_spouse_company,happiness,spouse_attraction,spouse_enjoy_doing_things_together,spouse_enjoy_cuddling,spouse_respect,spouse_pride,spouse_romance,spouse_love,marital_satisfaction,spouse_satisfaction,relationship_satisfaction,natl_pride_in_parents,natl_pride_in_children,natl_aging_parents_live_with_children,natl_children_live_at_home_marraige,indv_pride_in_parents,indv_pride_in_children,indv_aging_parents_live_with_children,indv_children_live_at_home_marraige
0,Brazil ,1.0,21.0,2.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3,3.0,3.0,3.0,3,3.0,3.0,3.0
1,Brazil ,1.0,29.0,3.0,1.0,0.0,5.0,0.0,1.0,6.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2,3.0,3.0,3.0,3,3.0,3.0,3.0
2,Brazil ,1.0,30.0,7.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0,3.0,2,3.0,2.0,3.0,3,3.0,3.0,3.0
3,Brazil ,1.0,30.0,7.0,1.0,1.0,5.0,0.0,1.0,6.0,-3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,3.0,3.0,2.0,3,3.0,3.0,3.0
4,Brazil ,1.0,28.0,9.0,0.0,0.0,4.0,1.0,1.0,5.0,-3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,1,2.0,1.0,2.0,3,3.0,3.0,3.0
5,Brazil ,1.0,39.0,9.0,1.0,0.0,5.0,0.0,1.0,6.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1,3.0,-1.0,1.0,3,3.0,1.0,3.0
6,Brazil ,1.0,30.0,7.0,2.0,2.0,5.0,0.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2,3.0,-1.0,1.0,2,2.0,1.0,3.0
7,Brazil ,1.0,40.0,20.0,2.0,2.0,5.0,0.0,1.0,7.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,-2,-1.0,0.0,1.0,3,3.0,0.0,3.0
8,Brazil ,2.0,43.0,22.0,2.0,2.0,4.0,0.0,1.0,5.0,-1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1,3.0,1.0,0.0,3,3.0,0.0,3.0
9,Brazil ,2.0,34.0,2.0,1.0,0.0,5.0,1.0,1.0,4.0,1.0,0.0,-2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,-3.0,-3.0,-3.0,1,3.0,0.0,3.0,3,3.0,0.0,2.0
10,Brazil ,2.0,52.0,27.0,2.0,0.0,3.0,1.0,1.0,1.0,-3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,-2,2.0,-2.0,2.0,3,3.0,-1.0,2.0
11,Brazil ,1.0,33.0,4.0,1.0,1.0,5.0,0.0,1.0,4.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2.0,0.0,1.0,2,2.0,-1.0,2.0
